t,hour,acc,acc_true,T_deck,T_air,wind,turbulence,traffic_rate,exc_rms,damage,regime,f1,f2,a1,a2,a3,a4
0,0,0.001351032,0.0006651106,6.106448,6.106448,2.50649,0.115345,50.05456,0.0008157006,0,0,2.023369,6.046736,0.9730488,-0.9177636,0.8681351,-0.9093226
0.05,0.001666667,0.0005431569,0.0002095801,6.106437,6.105119,2.501009,0.1153447,50.0547,0.0008205084,0,0,2.023369,6.046737,0.9730487,-0.9177635,0.868135,-0.9093226
0.1,0.003333333,-0.001118918,-0.001664915,6.106426,6.10379,2.495527,0.1153445,50.05483,0.0008220989,0,0,2.023369,6.046737,0.9730486,-0.9177634,0.8681349,-0.9093226
0.15,0.005,-0.0001816816,0.0001739595,6.106415,6.102461,2.490046,0.1153442,50.05496,0.000830136,0,0,2.023369,6.046737,0.9730485,-0.9177633,0.8681348,-0.9093226
0.2,0.006666667,-8.574608e-05,-0.0004150681,6.106404,6.101132,2.484564,0.115344,50.0551,0.0008337195,0,0,2.023369,6.046737,0.9730484,-0.9177632,0.8681347,-0.9093226
0.25,0.008333333,0.0001422357,-3.034632e-05,6.106393,6.099803,2.479082,0.1153438,50.05523,0.0008366859,0,0,2.023369,6.046737,0.9730483,-0.9177631,0.8681346,-0.9093226
0.3,0.01,0.001949748,0.001853472,6.106382,6.098474,2.473601,0.1153435,50.05536,0.0008410071,0,0,2.023369,6.046737,0.9730482,-0.917763,0.8681345,-0.9093226
0.35,0.01166667,0.0002864092,-0.0001692574,6.106371,6.097145,2.468119,0.1153433,50.05549,0.0008472326,0,0,2.023369,6.046737,0.9730481,-0.9177629,0.8681344,-0.9093226
0.4,0.01333333,0.0005551725,0.0003018091,6.10636,6.095816,2.462638,0.1153431,50.05563,0.0008520865,0,0,2.02337,6.046737,0.973048,-0.9177628,0.8681343,-0.9093226
0.45,0.015,0.0006030887,0.001080619,6.106349,6.094488,2.457156,0.1153428,50.05576,0.000860796,0,0,2.02337,6.046738,0.9730479,-0.9177627,0.8681342,-0.9093226
0.5,0.01666667,3.436855e-05,0.000200103,6.106338,6.093159,2.451675,0.1153426,50.05589,0.0008641975,0,0,2.02337,6.046738,0.9730478,-0.9177626,0.8681341,-0.9093226
0.55,0.01833333,-0.001984174,-0.001914665,6.106356,6.096708,2.454586,0.1154012,50.05603,0.0008665356,0,0,2.02337,6.046738,0.973048,-0.9177628,0.8681343,-0.9093226
